toxic,Sentence
non-toxic,"el mío como el culo, la verdad"
toxic,"A este tambien lo habia que echar porque era una puta mierda, como Cumic"
non-toxic,ru DE PLUTON ESA SIENDO UN EXI callate Dross >:v ok como decia la pagina se trata de joder un rato
toxic,"que muestran otros que también se dicen cristianos: También la sabiduría popular les tiene bien fichados y muestra la sentencia al referirse a quienes dicen una cosa y HACEN lo contrario de lo que predican: Y los jodidos Papas, Obispos,curas, monjas, Valaguer, Arguellos y demás mariachis se quedan tan panchos"
non-toxic,"“Le introdujeron un objeto romo por vía anal que derivó en un reflejo vagal y en un paro cardiorrespiratorio”, afirmó la fiscal"
non-toxic,"la mañana coincidió que charlando de mis labios, en sus brazos y le metió un dedo en el baño aqui la conti porque estuve un rato hasta que senti espero que les había prometido que viajaría a Veracruz, inmediatamente vino a la vida de El mago de petarda de se lo da, una voyeur se masturba muy placenteramente en casa"
non-toxic,"El vídeo del que todo el mundo habla XD « Jordi Porn – Todos los videos de Jordi el polla – Web NO OFICIAL de Jordi Porn – Jordi el Polla ¡Hola chavales! si, era a mi al que le estaban haciendo la mamada en el metro del vídeo del que todo el mundo habla"
toxic,Mañana escribiré sobre la peste a peo que se viene formando desde hace rato con el único objetivo de beneficiar a la dictadura
toxic,"del peor error de mexico queda claro que fue un fosil de la unam, y el chocoflan va a escuela privada, pendejo no es el cacas y doña zopi"
non-toxic,"Ya veis, será una chorrada haber nacido el mismo año, pero no lo es sentirme tan unido al señor Mascis en este jodido caminar"
toxic,antes de irme a trabajar la abuela me folla
toxic,Puede haber feminismo si no incluimos a los trans dentro de él
toxic,"Para mí, la única diferencia que hay entre estas y las que están en la Bolita del Mundo es que las últimas son de piel oscura, sin educación, de clase baja, con los cabellos ""enemiguitos"" y que tienen un chulo sin dientes que la espera en la esquina"
toxic,"Pues si usted no tiene ni puta idea, imagínese yo"
toxic,Ahora se llena esto de gentuza kasposa catalufa y vascolufa
toxic,El rojo analfabeto este de Casa Querida que se vaya a Cuba con Willy Toledo y nos libre de su memez y mediocridad
toxic,El libro lo quiero pero a Samantha no la soporto: no se puede ir de pija flocerilla en su programa y de bruja de blancanieves en masterchef
toxic,Al Chino le precede ese agrio olor a carne podrida y macerada en salsa de ostras incorruptas
toxic,"Que se joda, vamos a ver que nos muestra Sony mañana"
non-toxic,Enfurecida se folla al irresponsable
non-toxic,#Tristeza @MoonReD28 juasssssssss amolcilla huele tu culo! si eso es amor
non-toxic,"Al finalizar la semana, tengo que confesar que he disfrutado como una enana con todas vosotras!!"
non-toxic,"Además, tendrá siempre la ropa mojada de babas, al igual que los libros y todo con lo que trabaje"
toxic,Sexo lésbico es trampa sexual
toxic,Mira esta escena sensual para ver por qué estas chicas traviesas con el coño afeitado saben cómo divertirse
non-toxic,"-Porque todos tenemos miedo, seamos de derechas o de izquierdas, estemos con la República o no una bomba te mata igual"
non-toxic,"Ellas hoy celebran que sus padres no las educaran en igualdad de condiciones respecto a sus hermanos varones, dado el ímpetu de un feminismo que ya no tiene vuelta atrás"
toxic,Que se quede de comentarista lamiendole el ojete al Farsa
non-toxic,La otra persona se aprobecho para «ligarsela» porke estava deprimida pero no puedes decir ke por estar deprimida y tener una amiga lesbiana se le contagio la homosexualidad porke es ridiculo
toxic,"¡¡¡ yo odiaba los vestidos de frunces y puntillas que ademas mi madre hacia muy bien y de todas colores y prometí no comprarle a mi hija nunca un vestido así, pero la niña me salio traidora cuando se iba con la abuela de compras le decía mami no le compres a la niña ningún vestido y resulta que a la puñetera niña le encantan esos vestidos y lo elegía ella"
toxic,Tal vez la peor plaga que asola a España sea la maldita inmigracion
non-toxic,"Y comparto totalmente lo de la gestión de minutos, entiendo que Zidane estaba cagado por conservar la victoria pero al menos le podía haber dado los 15 minutos a Mariano"
non-toxic,"Lo más original, sin duda, su transgresor escote en forma de pico"
toxic,Pero que a un niño normal o a un niño anormal lo adopte una pareja de anormales no es razonable
toxic,“Le creé un perfil a mi hermana y porque cuando yo subía alguna foto de ella a mis redes sociales mis amigos siempre le hacían preguntas a la perra”
toxic,"Si los ejércitos dejaran de reclutar a gente pobre y estúpida, ¿qué sería de nosotros? El problema es que él no es una excepción, sino más bien la expresión de una norma"
non-toxic,"Toda persona que venga a trabajar a euskadi debe ser bien recibida, ya que aportara riqueza a todo el pais, pero hay que ser firmes y no permitir que campen a sus anchas la gente que viene a delinquir y a chupar del bote que ponemos entre todos y si para ello la una solución es la expulsión adelante"
toxic,"El cachopo!! San cachopo!!! Qué buen invento!! Y sí, hostia ya! Tanta chorrada y gilipollez saca a cualquiera de sus casillas cagondiosqueloparió, que diría mi señor padre xDDDD"
toxic,"pero es que estos socialistas, no me jodas, son una panda de traidores comepollas que no hay quien los soporte"
toxic,"veremos donde acabamos, y veremos si los «mohosos» de la porra no acaban corriendo delante como en los San Fermines"
toxic,"Pero la dictadura hace muy bien con todos estos desorvitantes impuestos y tarifas, pues los carneros cubanos lloran y dan su berrinche pero al final pagan y gritan viva la revolucion"
toxic,"El socialismo es una doctrina dogmática que sólo considera como normal lo que resulta acorde con su ideología, no admite ninguna perspectiva más que la suya, y trata de imponer su “normalidad” en la sociedad, aunque sea de forma estridente, histérica o totalitaria, porque en realidad no lo hace con la intención de neutralizar criterios, sino de imponer la dominación de sus sesgos interpretativos y ganar votos con ello"
non-toxic,"Y claro, muchas los tildan de machistas o de ‘me usó y se geteó’"
non-toxic,Los moros no son criaturas sin cerebro como mucha gente piensa
toxic,"la kretina armo su partido y miren como le fue en 2015?? jajajaja Soy macrista y cambie el auto en mayo 2015 con la Kretina a tasa 11,9% y ni el tanque con nafta me dieron…"
toxic,"- Tienes fiebre, a ver- No me gustaba hacer de buen samaritano con esta tipa, pero era lo que había y por más zorra que fuera, yo no era tampoco un maldito como para dejar a una mujer enferma sola"
non-toxic,tachando a los estudiantes rebeldes de “pequeños burgueses”
toxic,"Las mujeres no deberían desarrollar tareas fuera de casa ya que supone un impedimento importante a la hora de poder amamantar al hijo, y más aún cuando se quiere hacer una lactancia a demanda"
toxic,"Pero Dios nos salve de la vuelta de Pep, aunque nos motiva, quién se aguanta a la marica mala con 13 puntos de ventaja"
toxic,hacele un favor al mundo y morite
toxic,"A menudo solemos relacionar a los hooligans, esos degenerados de cabeza rapada, chupas de cuero y «botas de pisar negros», con el lado oscuro, deleznable y siniestro del fútbol"
non-toxic,"y eso de negro, indio o mestizo no lo digo en forma peyorativa, ya que en mi caso es lo que se dice soy un “saltapatrás”"
toxic,"Kordale y Kaleb Me parece peyorativo el término «negros» en su nota, ya que no a todas las personas de color les agrada tal término, se les hace ofensivo y al ser ustedes un medio de comunicación masivo deben de tener mayor cuidado con su léxico"
non-toxic,"Allá en el tiempo, donde todo se veía blanco y negro como perro, los autos no ensordecían y tapaban el canto de los pájaros con sus bocinas en la gran vía, aquella que comunica a los distintos barrios de nuestro – Que digo nuestro si esta ciudad es de todos – hermoso Madrid, y donde también los hombres gozaban de un vestir más tradicional con sus sombreros Fedora y sus enormes periódicos los cuales leían mientras caminaban…mi profesión era antes respetada y por sobre todas las cosas, necesaria, y no en el sentido superfluo sino en el honesto, el respetado"
non-toxic,"En ese tripudio natural acabó la primera parte, puede que la más escenográfica y espectacular, de nuestra visita al Safari Madrid pero antes de irnos preguntamos al valiente guardián de este último recinto, un San Pedro del Tercer Milenio encargado de custodiar las llaves, y los candados, de ese paraíso terrestre, dónde se escondía la criatura más peligrosa: el temible oso negro"
non-toxic,"En “MIB International” la reivindicación feminista se hace mucho más explícita, aunque bien medida, sin ser una caricatura ni caer ni en la gravedad o en el alegato panfletario, pues la agente M es una mujer arquetípica, apasionada por la moda y pretendida reina por su condición femenina, pero que cuestiona el nombre de la agencia, “Hombres de negro”, lo cual culminará en una propuesta más inclusiva por parte del protagonista masculino, el agente H"
non-toxic,"¿Cómo era la correlación entre pobladores blancos y negros? Pues siendo la ganadería una actividad económica que no requería mucha mano de obra, la fuerza esclava era superflua."
non-toxic,"Hola Daniel, que auriculares de conduccion osea utilizas? Estoy pensando en comprarme unos pero estoy medio perdido y no se cuales cojer"
non-toxic,"Sospecho que aún en pleno siglo XXI, esto sigue sin quedar claro para ciertos sectores que defienden el status quo que violenta a las mujeres, el colectivo LGBTIQ+ y a todes quienes no responden al “sujeto universal” hegemónico: varón, blanco y con recursos"
non-toxic,No se podría penetrar en estos lugares subterráneos sin haber cogido este ramo que tiene los frutos de oro
non-toxic,"Los candidatos a este tipo de cirugía son aquellas personas de ambos géneros quienes deseen mejorar la apariencia de su contorno corporal cuando la dieta y los ejercicios simplemente no fueron suficientes para eliminar la grasa depositada por su organismo en determinadas parte de su cuerpo, ya sea en su abdomen, su cuello, sus brazos, espalda, muslos, piernas o cadera"
