position,text_of_post
non-toxic,"It all took place in a matter of minutes. The moose looks young and didn't look angry until multiple skiers whizzing past him or her, taking video, calling out to one another and generally acting like idiots freaked him or her out.  

It's a damn shame this creature was killed. Makes me ill."
non-toxic,"Dumb analogy. Most beaches are watched by lifeguards. ""Idiots"" entering in conditions way over their heads are warned or rescued. The idiots who enter closed trails and get in way over their heads - most often with the idea to get some ""rad photos for the gram"" are the ones who put innocent lives in danger. The ocean has preventative options. Hiking on expert only or closed trails do not."
toxic,"Deplorable liar, hypocrite, demagogue of a militant ideology against the world in wrathful avarice-poisoned pursuit of oil and war profit, paid for in the blood and misery of innocent millions abroad and US domestic enslavement to US$19.978B in wrongful war debt. All on a false presence. The war criminals Cheney and Bush and their collaborators still go at large, still escape the justice of the Hague. It's an affront to civilization itself, and this clown-beast claims to represent the right side of history?"
toxic,"Personally, I regret immigrating to Canada, As a country, it sucks."
toxic,"More jealousy of smart college-educated people?  Seems so.  Ignorant people like you, RTHur can't handle complex information.  Seems Allie has you on a short leash.  You can't help but respond with continuing idiocy.  (BTW, do you know how stupid it looks to add 'lol' to your own post.  Every day you just appear dumber and dumber)"
toxic,"Live by the gun. Die by the gun. Same for stupidity. Gonna love the boring retirement life of 6 walls staring at you, schmuck."
toxic,"the real ""problem"" is that a bunch of morons actually believed that anyone could trust a thing that he says"
non-toxic,"If Americans had any self-respect Trump would be the object of a ridicule so vicious he wouldn't want to be seen in public anymore. But clearly this won't happen because Trump represents a segment of Americans who are like him: dishonest, creepy, ethically unclean, irredeemably corrupt. If America had some sort of minimum standard for citizenship, these people wouldn't qualify."
non-toxic,"You got sucker punched, so clearly all minority grievances are false or exaggerated. Sorry you got punched by some idiot, sorrier that you're using it as an excuse to be a bigot."
non-toxic,"Actually, no. Religion is not intended to defend pedophiles, only lunatic pedophiles are the ones attempting to defend themselves."
toxic,"Yeah it's stupid to have laws about stealing stuff also. I mean if thieves are going to use a gun in a robbery, who in their right mind thinks they are concerned about breaking property laws.

Pretty ignorant if you ask me."
toxic,"Idiots.
Making ""safe"" zones for the very people who make unsafe conditions, or did you morons not notice the waterfront park is being closed because of the actions these bums take?
OCCC is a safe zone. Use it."
non-toxic,Piece of shit
toxic,"Still another pivot to divert the heat away from yet another crook that this clown surrounds himself with, in this case Sessions. To say that 45 is unstable and delusional is a vast understatement."
non-toxic,Castrate him and give him a bamboo mani-pedi.
non-toxic,"You left out that you think he is a big, fat meanie, and dumb, stupid dumbskull, dumb, dumb, dumb!!"
non-toxic,"Oh, there's that tired old false dichotomy again.  

There's more than one way to build a building  --  the Bullitt Center has demonstrated that a large building can actually generate more energy than it consumes.

But you just go ahead and sneer  --  it's clearly great fun to be ignorant by choice."
non-toxic,"diplomatic chinese? are you really that stupid?  its called negotiating loser thats the trump way, get used to it cry baby"
non-toxic,Thank you so much for writing this.  This small group of people are extremely disruptive and hateful.  So many citizens are sick of the half truths they spread and their ad nauseum repeat of the same handful of things they are ticked off about.  They are absolutely ridiculous.
toxic,Stupid comment IMHO.
