label,TEXT
toxic,也是，想想物流爆仓等半个月和打砸抢烧丧尸围城一般冒着被黑人胖大妈一屁股坐死的风险半夜2点去门店排队，我宁愿等着，慢就慢吧，命比较重要
toxic,说这些。四川人是不是只有喝西北风才健康啊。抛开剂量谈毒性都是垃圾
non-toxic,不同构成，有绿绿也有天主教，两样都很多的，有真正非洲黑也有南亚那种黑，不过也没有很多，至少不去某一街区是不会见到的。其实不止黑人，中亚南亚拉美也很多的。至于绿绿，嗯，放心，咱们这里有数百年的宗族械斗传统。
non-toxic,台湾人这么说
non-toxic,曾泽生肯定是不稳的，想都想得到。人滇军是被强行绑票到东北了。被扔在长春这个铁桶里饿了大半年，没一兵一卒来救他们。想都想得到要出事。既将人当杂牌，又让人送死，谁是傻子吗？
non-toxic,"""说的好。亚洲人在那里也属于,少数族裔，但是被压迫的不行了"""
non-toxic,一般在床上让女友喊爸爸
toxic,男女大脑差异的的确确是研究证明了啊，就好像黑人短跑比白人快也是事实一样。过度政治正确真的没必要，谈到差异，就想到迫害，就想到家暴，就几千年压迫云云
toxic,但是也听过她的一些料。网上那个浙江卫视打压她是真的。因为毕竟是浙江卫视耗费人力资源捧红了她，她却在最红的时候离开，把浙江卫视真的气到了，各种打压她。本来蛮火的，呆在浙江卫视的话不能说更火，但好歹也不会怎么差下去，现在就真的不能算一线了…
non-toxic,同感！我想了下这跟家庭潜移默化的影响挺大了我妈女强我爸闲不下来的那种这几年迷上马拉松每天五点起跑40km
non-toxic,非常实用，我以前非常不屑粉色，现在特别萌一些少女的东西。但是能令我产生一点点愉悦的东西都很珍惜！
toxic,估计就是做的不好吃，就是相当于拌饭包起来，不能说多好吃的东西，但是一般恶心不至于。可能主要是酱的问题，然后葱太多了，我一个东北人都不爱吃葱
toxic,看吧 上海人说上海话你们说他们排外 四川人在四川说四川话跟上海人在上海说上海话有什么区别
toxic,黑命贵可以大喊，可以零元购，白人不行。但是美国白人说句n打头的词都忌讳……难道真的是黑人在美国社会地位高……
non-toxic,萨顶顶是很不错的歌手，其实她的歌挺有中国特色的，并不是迎合外国人，她的歌融合了我国一些少数民族特点，适合听，不适合唱，
non-toxic,中国人是黄种人，但不是所有的黄种人都是中国人。中华人民共和国的崛起是中华民族的复兴
toxic,"""其实在沪最排外的是\""""新上海人\""""，别问为什么，你就问他们二十年前是不是上海人。"""
non-toxic,哈哈哈黑人Rap就50cents那几个从来听不出区别 从来都是左手豪车右手美女
toxic,这不就是地域黑的操作么，只不过反过来。我们这里对山东人的评价就很不好，因为我们这是山东来的移民很多。可能因为山东人比较粗犷所以和本地细腻的民风不适应。当然了，这样的地域黑是不对的（求生欲）。
toxic,在中国的黑人可以大肆辱骂中国人，还上了新闻！哈哈哈
toxic,？？所以你们真的觉得“四大发明不领先”和讲“黑人智商低”，“支持台独港独”，“反人类反社会”是一个级别的言论？
toxic,你说台湾人如何如何的时候和地域黑有什么区别？讲讲道理好不好，什么地方都有持两派意见者，一棍子打死没有帮助
non-toxic,北京话好听，亲切。虽然身处异乡。大爷大妈和你说话可能比你亲人说话听着还舒服。素不相识，却处处为你着想。
toxic,网上的东西看看就好，我还在网上老看见河南人偷井盖呢
non-toxic,不算！！就算有部分爱party的也绝对是美国人印度人
toxic,作为河南人看完回答自己笑起来然后很愉悦的来看评论的 如果回答属实确实觉得惭愧 并不是因为骗 而是为同乡的智商情商 一兜生玉米和熟玉米成本对于开着炉子烧着热水的小店来说差多少？为这个骗人真是让我这个大骗省的人惭愧 哈哈
non-toxic,你这样对发表言论对讨厌喊麦的东北其他人来说，是不是不太公平？
non-toxic,印度人也是这一套
toxic,啥啥都是黑东北，也不看看口音
toxic,女人外表不好看是投胎品味差，或者身材管理品味差，或者打扮的品味差，或者都差呗！
toxic,"""如果政策上恢复黑人昆仑奴的一切待遇,我想这黑人会被人间蒸发"""
toxic,亚裔只有在美国的经济地位不低而已，其他地位=没有地位。日常是黑人一样歧视亚裔，黑人可以有很高的明星地位或政治地位，
